datetime,customer_id,current_balance,lifetime_trip_count,avg_passenger_count,created
2021-10-12 08:00:00+00:00,20999,42.922073,18,2.4796443,2021-10-19 08:17:35.285
2021-10-13 08:00:00+00:00,20999,41.226967,23,1.2527232,2021-10-19 08:17:35.285
2021-10-14 08:00:00+00:00,20999,24.731756,28,2.115065,2021-10-19 08:17:35.285
2021-10-15 08:00:00+00:00,20999,20.89808,34,1.7077858,2021-10-19 08:17:35.285
2021-10-16 08:00:00+00:00,20999,10.659274,39,1.9978725,2021-10-19 08:17:35.285
2021-10-17 08:00:00+00:00,20999,41.625183,44,2.7594662,2021-10-19 08:17:35.285
2021-10-18 08:00:00+00:00,20999,14.029343,50,1.4806443,2021-10-19 08:17:35.285
2021-10-12 08:00:00+00:00,20998,45.64323,18,1.3562001,2021-10-19 08:17:35.285
2021-10-13 08:00:00+00:00,20998,48.94249,23,1.229381,2021-10-19 08:17:35.285
2021-10-14 08:00:00+00:00,20998,20.0562,28,2.425154,2021-10-19 08:17:35.285
2021-10-15 08:00:00+00:00,20998,16.496696,33,1.7325141,2021-10-19 08:17:35.285
2021-10-16 08:00:00+00:00,20998,39.227577,38,2.8697717,2021-10-19 08:17:35.285
2021-10-17 08:00:00+00:00,20998,36.196304,43,1.8157427,2021-10-19 08:17:35.285
2021-10-18 08:00:00+00:00,20998,37.27123,48,2.0691857,2021-10-19 08:17:35.285
2021-10-12 08:00:00+00:00,20997,32.85348,11,1.3674623,2021-10-19 08:17:35.285
2021-10-13 08:00:00+00:00,20997,13.825041,17,1.3055122,2021-10-19 08:17:35.285
2021-10-14 08:00:00+00:00,20997,33.000015,23,2.3310988,2021-10-19 08:17:35.285
2021-10-15 08:00:00+00:00,20997,34.050293,30,2.025588,2021-10-19 08:17:35.285
2021-10-16 08:00:00+00:00,20997,24.471352,36,2.867404,2021-10-19 08:17:35.285
2021-10-17 08:00:00+00:00,20997,42.226303,42,2.901703,2021-10-19 08:17:35.285
2021-10-18 08:00:00+00:00,20997,26.757141,49,2.9136078,2021-10-19 08:17:35.285
